instruction,input,output
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna South in the year 2021?,Top crop: Cassava with a yield of 983.2287944175472 kg/ha. Top livestock: Cattle with a count of 983.2287944175472.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sabon Gari in the year 2018?,Top crop: Sorghum with a yield of 653.9773334383581 kg/ha. Top livestock: Sheep with a count of 653.9773334383581.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sabon Gari in the year 2025?,Top crop: Tomato with a yield of 714.2349508127654 kg/ha. Top livestock: Sheep with a count of 714.2349508127654.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Chikun in the year 2018?,Top crop: Tomato with a yield of 752.2434444817617 kg/ha. Top livestock: Cattle with a count of 752.2434444817617.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2023?,Top crop: Soybean with a yield of 564.2684171159312 kg/ha. Top livestock: Pig with a count of 564.2684171159312.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Shanga in the year 2021?,Top crop: Tomato with a yield of 536.6003403873561 kg/ha. Top livestock: Sheep with a count of 536.6003403873561.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sokoto in the year 2024?,Top crop: Tomato with a yield of 703.8220656186122 kg/ha. Top livestock: Cattle with a count of 703.8220656186122.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2018?,Top crop: Soybean with a yield of 206.52944627097463 kg/ha. Top livestock: Cattle with a count of 206.52944627097463.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Makarfi in the year 2015?,Top crop: Maize with a yield of 851.2981857331886 kg/ha. Top livestock: Cattle with a count of 851.2981857331886.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna North in the year 2018?,Top crop: Maize with a yield of 761.1247887951642 kg/ha. Top livestock: Pig with a count of 761.1247887951642.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Chikun in the year 2017?,Top crop: Maize with a yield of 828.1973497231239 kg/ha. Top livestock: Cattle with a count of 828.1973497231239.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Igabi in the year 2023?,Top crop: Rice with a yield of 965.220463378244 kg/ha. Top livestock: Cattle with a count of 965.220463378244.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2017?,Top crop: Groundnut with a yield of 859.0601299204653 kg/ha. Top livestock: Sheep with a count of 859.0601299204653.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2019?,Top crop: Maize with a yield of 980.7812488326512 kg/ha. Top livestock: Goat with a count of 980.7812488326512.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lau in the year 2015?,Top crop: Millet with a yield of 283.1369342552787 kg/ha. Top livestock: Goat with a count of 283.1369342552787.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2021?,Top crop: Cassava with a yield of 493.2453469817836 kg/ha. Top livestock: Poultry with a count of 493.2453469817836.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2019?,Top crop: Cassava with a yield of 608.5737109188246 kg/ha. Top livestock: Cattle with a count of 608.5737109188246.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kachia in the year 2019?,Top crop: Groundnut with a yield of 435.60538973440384 kg/ha. Top livestock: Poultry with a count of 435.60538973440384.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Samaru in the year 2017?,Top crop: Maize with a yield of 892.8203247447457 kg/ha. Top livestock: Goat with a count of 892.8203247447457.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Igabi in the year 2015?,Top crop: Millet with a yield of 316.85223296033496 kg/ha. Top livestock: Cattle with a count of 316.85223296033496.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Shanga in the year 2019?,Top crop: Millet with a yield of 443.4744834898745 kg/ha. Top livestock: Goat with a count of 443.4744834898745.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2016?,Top crop: Tomato with a yield of 903.976457403235 kg/ha. Top livestock: Goat with a count of 903.976457403235.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Samaru in the year 2016?,Top crop: Soybean with a yield of 483.5702946950937 kg/ha. Top livestock: Pig with a count of 483.5702946950937.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2019?,Top crop: Millet with a yield of 472.4456499312768 kg/ha. Top livestock: Sheep with a count of 472.4456499312768.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Makarfi in the year 2021?,Top crop: Millet with a yield of 611.4808097173416 kg/ha. Top livestock: Pig with a count of 611.4808097173416.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Igabi in the year 2024?,Top crop: Soybean with a yield of 724.5851334929424 kg/ha. Top livestock: Goat with a count of 724.5851334929424.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Chikun in the year 2025?,Top crop: Groundnut with a yield of 442.3408520478131 kg/ha. Top livestock: Pig with a count of 442.3408520478131.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2022?,Top crop: Rice with a yield of 835.4483197924383 kg/ha. Top livestock: Sheep with a count of 835.4483197924383.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2020?,Top crop: Millet with a yield of 736.1047770771991 kg/ha. Top livestock: Cattle with a count of 736.1047770771991.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zangon Kataf in the year 2025?,Top crop: Tomato with a yield of 832.3225033174057 kg/ha. Top livestock: Poultry with a count of 832.3225033174057.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2021?,Top crop: Millet with a yield of 878.8537740851365 kg/ha. Top livestock: Sheep with a count of 878.8537740851365.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zangon Kataf in the year 2023?,Top crop: Tomato with a yield of 679.0795250557244 kg/ha. Top livestock: Poultry with a count of 679.0795250557244.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2015?,Top crop: Maize with a yield of 449.8950253684397 kg/ha. Top livestock: Sheep with a count of 449.8950253684397.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Shanga in the year 2024?,Top crop: Sorghum with a yield of 218.0447047762903 kg/ha. Top livestock: Cattle with a count of 218.0447047762903.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Samaru in the year 2022?,Top crop: Rice with a yield of 236.6613816507691 kg/ha. Top livestock: Poultry with a count of 236.6613816507691.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2025?,Top crop: Maize with a yield of 378.3377558439764 kg/ha. Top livestock: Sheep with a count of 378.3377558439764.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Chikun in the year 2019?,Top crop: Rice with a yield of 747.7778227814496 kg/ha. Top livestock: Goat with a count of 747.7778227814496.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna South in the year 2020?,Top crop: Maize with a yield of 659.6851177631237 kg/ha. Top livestock: Sheep with a count of 659.6851177631237.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2022?,Top crop: Soybean with a yield of 341.37452554623883 kg/ha. Top livestock: Poultry with a count of 341.37452554623883.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lere in the year 2024?,Top crop: Maize with a yield of 507.0390377499992 kg/ha. Top livestock: Sheep with a count of 507.0390377499992.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Makarfi in the year 2022?,Top crop: Tomato with a yield of 534.5682539334321 kg/ha. Top livestock: Poultry with a count of 534.5682539334321.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jemaa in the year 2018?,Top crop: Sorghum with a yield of 684.1783507967582 kg/ha. Top livestock: Poultry with a count of 684.1783507967582.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lau in the year 2025?,Top crop: Groundnut with a yield of 603.3058635042801 kg/ha. Top livestock: Cattle with a count of 603.3058635042801.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2023?,Top crop: Cassava with a yield of 587.1477144094493 kg/ha. Top livestock: Cattle with a count of 587.1477144094493.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaura in the year 2025?,Top crop: Rice with a yield of 728.1494735517678 kg/ha. Top livestock: Pig with a count of 728.1494735517678.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna North in the year 2025?,Top crop: Maize with a yield of 346.7234450440643 kg/ha. Top livestock: Poultry with a count of 346.7234450440643.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2022?,Top crop: Millet with a yield of 994.5986103994504 kg/ha. Top livestock: Cattle with a count of 994.5986103994504.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2023?,Top crop: Rice with a yield of 429.3783339432527 kg/ha. Top livestock: Goat with a count of 429.3783339432527.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Makarfi in the year 2024?,Top crop: Cassava with a yield of 671.3816086918863 kg/ha. Top livestock: Cattle with a count of 671.3816086918863.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2018?,Top crop: Sorghum with a yield of 926.311410248902 kg/ha. Top livestock: Pig with a count of 926.311410248902.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kachia in the year 2021?,Top crop: Tomato with a yield of 337.0298157128881 kg/ha. Top livestock: Cattle with a count of 337.0298157128881.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2023?,Top crop: Millet with a yield of 956.9261413738878 kg/ha. Top livestock: Goat with a count of 956.9261413738878.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Shanga in the year 2019?,Top crop: Groundnut with a yield of 449.4542861619916 kg/ha. Top livestock: Pig with a count of 449.4542861619916.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sokoto in the year 2021?,Top crop: Rice with a yield of 589.3090551930034 kg/ha. Top livestock: Sheep with a count of 589.3090551930034.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2018?,Top crop: Rice with a yield of 642.3209964311893 kg/ha. Top livestock: Cattle with a count of 642.3209964311893.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Shanga in the year 2025?,Top crop: Cassava with a yield of 744.9009788089493 kg/ha. Top livestock: Sheep with a count of 744.9009788089493.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sanga in the year 2015?,Top crop: Cassava with a yield of 214.07349871648017 kg/ha. Top livestock: Cattle with a count of 214.07349871648017.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sabon Gari in the year 2016?,Top crop: Maize with a yield of 706.756533757857 kg/ha. Top livestock: Goat with a count of 706.756533757857.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kachia in the year 2015?,Top crop: Millet with a yield of 347.22916749552576 kg/ha. Top livestock: Poultry with a count of 347.22916749552576.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kauru in the year 2015?,Top crop: Cassava with a yield of 277.15194271042515 kg/ha. Top livestock: Poultry with a count of 277.15194271042515.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kauru in the year 2016?,Top crop: Rice with a yield of 932.823541510331 kg/ha. Top livestock: Goat with a count of 932.823541510331.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kachia in the year 2018?,Top crop: Sorghum with a yield of 516.6787629769528 kg/ha. Top livestock: Poultry with a count of 516.6787629769528.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna North in the year 2021?,Top crop: Cassava with a yield of 693.816210964753 kg/ha. Top livestock: Goat with a count of 693.816210964753.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2024?,Top crop: Soybean with a yield of 827.7302731615478 kg/ha. Top livestock: Sheep with a count of 827.7302731615478.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kauru in the year 2025?,Top crop: Rice with a yield of 217.33305256656607 kg/ha. Top livestock: Poultry with a count of 217.33305256656607.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2024?,Top crop: Sorghum with a yield of 375.60433241933566 kg/ha. Top livestock: Pig with a count of 375.60433241933566.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lere in the year 2017?,Top crop: Sorghum with a yield of 694.4636383401462 kg/ha. Top livestock: Sheep with a count of 694.4636383401462.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kauru in the year 2019?,Top crop: Rice with a yield of 394.1827915803517 kg/ha. Top livestock: Pig with a count of 394.1827915803517.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2024?,Top crop: Soybean with a yield of 344.6198595703057 kg/ha. Top livestock: Pig with a count of 344.6198595703057.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lau in the year 2023?,Top crop: Soybean with a yield of 424.6327610101528 kg/ha. Top livestock: Goat with a count of 424.6327610101528.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Samaru in the year 2020?,Top crop: Maize with a yield of 508.6987399335465 kg/ha. Top livestock: Poultry with a count of 508.6987399335465.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna North in the year 2020?,Top crop: Millet with a yield of 261.7526571842502 kg/ha. Top livestock: Pig with a count of 261.7526571842502.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2021?,Top crop: Tomato with a yield of 374.63488445764654 kg/ha. Top livestock: Pig with a count of 374.63488445764654.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2018?,Top crop: Sorghum with a yield of 509.0407066097769 kg/ha. Top livestock: Sheep with a count of 509.0407066097769.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Makarfi in the year 2015?,Top crop: Rice with a yield of 730.2088179350475 kg/ha. Top livestock: Cattle with a count of 730.2088179350475.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2023?,Top crop: Cassava with a yield of 399.3376804535602 kg/ha. Top livestock: Sheep with a count of 399.3376804535602.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna South in the year 2019?,Top crop: Groundnut with a yield of 874.4529865515138 kg/ha. Top livestock: Poultry with a count of 874.4529865515138.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaura in the year 2024?,Top crop: Sorghum with a yield of 407.9452937616528 kg/ha. Top livestock: Goat with a count of 407.9452937616528.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2023?,Top crop: Maize with a yield of 807.7869583874893 kg/ha. Top livestock: Pig with a count of 807.7869583874893.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2025?,Top crop: Rice with a yield of 535.7927429507953 kg/ha. Top livestock: Sheep with a count of 535.7927429507953.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2016?,Top crop: Soybean with a yield of 797.3655429678032 kg/ha. Top livestock: Goat with a count of 797.3655429678032.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2016?,Top crop: Rice with a yield of 438.9123517374813 kg/ha. Top livestock: Goat with a count of 438.9123517374813.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sokoto in the year 2015?,Top crop: Rice with a yield of 483.10323933383296 kg/ha. Top livestock: Cattle with a count of 483.10323933383296.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Samaru in the year 2017?,Top crop: Cassava with a yield of 682.4600983441649 kg/ha. Top livestock: Poultry with a count of 682.4600983441649.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2020?,Top crop: Soybean with a yield of 210.1454209547982 kg/ha. Top livestock: Poultry with a count of 210.1454209547982.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2015?,Top crop: Sorghum with a yield of 697.4994931847909 kg/ha. Top livestock: Poultry with a count of 697.4994931847909.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kauru in the year 2024?,Top crop: Tomato with a yield of 285.8670692525458 kg/ha. Top livestock: Poultry with a count of 285.8670692525458.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2022?,Top crop: Maize with a yield of 312.8109135261602 kg/ha. Top livestock: Sheep with a count of 312.8109135261602.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2015?,Top crop: Rice with a yield of 877.7231567604923 kg/ha. Top livestock: Goat with a count of 877.7231567604923.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2019?,Top crop: Cassava with a yield of 658.2808874180118 kg/ha. Top livestock: Pig with a count of 658.2808874180118.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2024?,Top crop: Sorghum with a yield of 630.8527944988059 kg/ha. Top livestock: Goat with a count of 630.8527944988059.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sabon Gari in the year 2017?,Top crop: Tomato with a yield of 338.1224751115571 kg/ha. Top livestock: Goat with a count of 338.1224751115571.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2023?,Top crop: Maize with a yield of 605.4998408535193 kg/ha. Top livestock: Goat with a count of 605.4998408535193.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2023?,Top crop: Tomato with a yield of 929.5569719717316 kg/ha. Top livestock: Goat with a count of 929.5569719717316.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kauru in the year 2020?,Top crop: Maize with a yield of 415.0712823947909 kg/ha. Top livestock: Poultry with a count of 415.0712823947909.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna North in the year 2021?,Top crop: Sorghum with a yield of 786.1565711309865 kg/ha. Top livestock: Goat with a count of 786.1565711309865.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2023?,Top crop: Soybean with a yield of 368.3880170769143 kg/ha. Top livestock: Cattle with a count of 368.3880170769143.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2020?,Top crop: Cassava with a yield of 344.8019510336427 kg/ha. Top livestock: Cattle with a count of 344.8019510336427.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Shanga in the year 2017?,Top crop: Maize with a yield of 218.2430895898564 kg/ha. Top livestock: Pig with a count of 218.2430895898564.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Makarfi in the year 2021?,Top crop: Maize with a yield of 668.6484230434257 kg/ha. Top livestock: Goat with a count of 668.6484230434257.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2021?,Top crop: Tomato with a yield of 642.1629591961037 kg/ha. Top livestock: Goat with a count of 642.1629591961037.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lau in the year 2020?,Top crop: Millet with a yield of 641.8031638496016 kg/ha. Top livestock: Goat with a count of 641.8031638496016.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna South in the year 2020?,Top crop: Sorghum with a yield of 967.6411864611742 kg/ha. Top livestock: Goat with a count of 967.6411864611742.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2024?,Top crop: Sorghum with a yield of 903.5193118884328 kg/ha. Top livestock: Cattle with a count of 903.5193118884328.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Chikun in the year 2024?,Top crop: Rice with a yield of 652.9173018055883 kg/ha. Top livestock: Sheep with a count of 652.9173018055883.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sokoto in the year 2015?,Top crop: Groundnut with a yield of 395.9233194911966 kg/ha. Top livestock: Cattle with a count of 395.9233194911966.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Samaru in the year 2022?,Top crop: Soybean with a yield of 541.4716654571116 kg/ha. Top livestock: Cattle with a count of 541.4716654571116.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jemaa in the year 2019?,Top crop: Rice with a yield of 775.6995066127752 kg/ha. Top livestock: Sheep with a count of 775.6995066127752.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Samaru in the year 2016?,Top crop: Groundnut with a yield of 244.31919558975528 kg/ha. Top livestock: Pig with a count of 244.31919558975528.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Samaru in the year 2022?,Top crop: Millet with a yield of 522.5925477101773 kg/ha. Top livestock: Sheep with a count of 522.5925477101773.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Makarfi in the year 2021?,Top crop: Groundnut with a yield of 397.62135634988965 kg/ha. Top livestock: Poultry with a count of 397.62135634988965.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2023?,Top crop: Cassava with a yield of 650.8378969621521 kg/ha. Top livestock: Sheep with a count of 650.8378969621521.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lau in the year 2021?,Top crop: Groundnut with a yield of 452.1513399890413 kg/ha. Top livestock: Goat with a count of 452.1513399890413.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2019?,Top crop: Rice with a yield of 240.6548238677113 kg/ha. Top livestock: Sheep with a count of 240.6548238677113.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jemaa in the year 2022?,Top crop: Cassava with a yield of 974.57213944589 kg/ha. Top livestock: Cattle with a count of 974.57213944589.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2016?,Top crop: Sorghum with a yield of 546.9041607170857 kg/ha. Top livestock: Pig with a count of 546.9041607170857.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaura in the year 2023?,Top crop: Sorghum with a yield of 511.51675494882375 kg/ha. Top livestock: Sheep with a count of 511.51675494882375.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Igabi in the year 2018?,Top crop: Maize with a yield of 350.09475186082 kg/ha. Top livestock: Pig with a count of 350.09475186082.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2023?,Top crop: Groundnut with a yield of 332.43410089988515 kg/ha. Top livestock: Cattle with a count of 332.43410089988515.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2019?,Top crop: Soybean with a yield of 835.2265330166192 kg/ha. Top livestock: Cattle with a count of 835.2265330166192.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2018?,Top crop: Cassava with a yield of 465.4162619140856 kg/ha. Top livestock: Pig with a count of 465.4162619140856.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sanga in the year 2016?,Top crop: Groundnut with a yield of 388.6812675266972 kg/ha. Top livestock: Sheep with a count of 388.6812675266972.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2020?,Top crop: Soybean with a yield of 445.7716729249837 kg/ha. Top livestock: Goat with a count of 445.7716729249837.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2024?,Top crop: Soybean with a yield of 275.8671040048516 kg/ha. Top livestock: Goat with a count of 275.8671040048516.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sabon Gari in the year 2023?,Top crop: Groundnut with a yield of 510.3696367951291 kg/ha. Top livestock: Pig with a count of 510.3696367951291.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2015?,Top crop: Cassava with a yield of 746.8576919654008 kg/ha. Top livestock: Cattle with a count of 746.8576919654008.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2022?,Top crop: Groundnut with a yield of 834.3741445289648 kg/ha. Top livestock: Sheep with a count of 834.3741445289648.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2019?,Top crop: Sorghum with a yield of 478.6228507981848 kg/ha. Top livestock: Cattle with a count of 478.6228507981848.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2017?,Top crop: Cassava with a yield of 568.0338285180316 kg/ha. Top livestock: Cattle with a count of 568.0338285180316.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2017?,Top crop: Millet with a yield of 692.5784786846426 kg/ha. Top livestock: Goat with a count of 692.5784786846426.
